Applicant Name,Funding Band,Amount,Year,Period,Type
Lakes Arts Festivals Ltd,1,0,2015,2015-2018,Fund
Lancaster Arts at Lancaster University,1,103053,2015,2015-2018,Fund
Lapworth Museum of Geology,1,0,2015,2015-2018,Fund
Ledbury Poetry Festival,1,53065,2015,2015-2018,Fund
Leeds Museums and Galleries,3,1590154,2015,2015-2018,Fund
Leeds Theatre Trust Limited,3,1508104,2015,2015-2018,Fund
Leicester Arts Centre Limited,1,80463,2015,2015-2018,Fund
Leicester City Council,2,0,2015,2015-2018,Fund
Leicester Dance Theatre Limited,2,0,2015,2015-2018,Fund
Leicester Print Workshop,1,70290,2015,2015-2018,Fund
Leicester Theatre Trust Ltd,3,1914029,2015,2015-2018,Fund
Leicestershire County Council,SSO,298179,2015,2015-2018,Fund
Level Centre Ltd,1,138800,2015,2015-2018,Fund
Libraries Unlimited South West,1,0,2015,2015-2018,Fund
Lighthouse Arts and Training Ltd,1,114992,2015,2015-2018,Fund
Lincoln Arts Trust Limited,1,207193,2015,2015-2018,Fund
Lincolnshire County Council,1,71411,2015,2015-2018,Fund
Literature Works,1,96556,2015,2015-2018,Fund
Littleworld Ltd t/a Horse and Bamboo Theatre,1,123632,2015,2015-2018,Fund
Live & Local Ltd,2,291464,2015,2015-2018,Fund
Live Art Development Agency,1,235846,2015,2015-2018,Fund
Live Theatre Winchester Trust,1,134158,2015,2015-2018,Fund
Liverpool & Merseyside Theatres Trust Ltd,3,1649977,2015,2015-2018,Fund
Liverpool Arab Arts Festival,1,110000,2015,2015-2018,Fund
Liverpool Biennial of Contemporary Art Ltd,2,788355,2015,2015-2018,Fund
Liverpool City Council Culture Liverpool,2,0,2015,2015-2018,Fund
London Arts in Health Forum,1,65662,2015,2015-2018,Fund
London Borough of Barking and Dagenham,1,0,2015,2015-2018,Fund
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,60000,2015,2015-2018,Fund
London International Festival of Theatre,2,452608,2015,2015-2018,Fund
London International Mime Festival,1,201160,2015,2015-2018,Fund
London Philharmonic Orchestra,3,2042222,2015,2015-2018,Fund
London Print Studio Ltd,1,190891,2015,2015-2018,Fund
London Symphony Orchestra,3,2206050,2015,2015-2018,Fund
London Transport Museum,1,0,2015,2015-2018,Fund
Loud In Libraries CIC,1,0,2015,2015-2018,Fund
Ludus Dance,1,95644,2015,2015-2018,Fund
Luton Carnival Arts Development Trust,1,0,2015,2015-2018,Fund
Luton Cultural Services Trust,1,0,2015,2015-2018,Fund
LUX,1,202122,2015,2015-2018,Fund
M6 THEATRE COMPANY LIMITED,1,199320,2015,2015-2018,Fund
Magna Vitae,1,150000,2015,2015-2018,Fund
Mahogany Community Ventures Limited,1,116637,2015,2015-2018,Fund
Manchester Camerata Limited,1,156620,2015,2015-2018,Fund
Manchester City Galleries,SSO,320150,2015,2015-2018,Fund
Manchester City Galleries,3,1597659,2015,2015-2018,Fund
Manchester Craft And Design,1,40000,2015,2015-2018,Fund
Manchester Jazz Festival,1,90521,2015,2015-2018,Fund
Manchester Jewish Museum,1,0,2015,2015-2018,Fund
Manchester Literature Festival,1,76661,2015,2015-2018,Fund
Manchester Young People's Theatre trading as Contact,2,916435,2015,2015-2018,Fund
Mandinga Arts,1,55319,2015,2015-2018,Fund
Matt's Gallery Ltd,1,153385,2015,2015-2018,Fund
MAYK Theatre CIC,1,90000,2015,2015-2018,Fund
Meadow Arts,1,160927,2015,2015-2018,Fund
Mercury Musical Developments,SSO,124467,2015,2015-2018,Fund
Metal Culture Ltd,2,565378,2015,2015-2018,Fund
Metro-Boulot-Dodo Limited,1,0,2015,2015-2018,Fund
MeWe Foundation,SSO,0,2015,2015-2018,Fund
Middle Child,1,0,2015,2015-2018,Fund
Middlesbrough Town Hall,1,0,2015,2015-2018,Fund
Midlands Arts Centre,2,739146,2015,2015-2018,Fund
MIF,3,729134,2015,2015-2018,Fund
Mikron Theatre Company,1,0,2015,2015-2018,Fund
Milap Festival Trust,2,419994,2015,2015-2018,Fund
Milton Keynes Arts Centre LTD,1,0,2015,2015-2018,Fund
Mimbre,1,125773,2015,2015-2018,Fund
Mind the Gap,1,206389,2015,2015-2018,Fund
Miracle Theatre Trust Ltd,1,95000,2015,2015-2018,Fund
MK Gallery,2,383307,2015,2015-2018,Fund
