Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Design Museum,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Disability Arts in Shropshire,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Disability Arts Online,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Diverse City,2,LOT,National Lottery,Band 2,False,False,False,False,False
Doncaster Heritage Services,1,LOT,National Lottery,Band 1,False,False,False,False,False
Donmar Warehouse Projects Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Doorstep Arts,1,LOT,National Lottery,Band 1,False,False,False,False,False
Drake Music,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Drawing Room,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
dreamthinkspeak,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Duckie,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Durham County Council,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
East London Dance,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
East Midlands Jazz CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
East Street Arts,1,GIA,Grant in Aid,Band 1,True,False,False,True,False
East Street Arts,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Eastern Angles Theatre Company Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Eastside Educational Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Eclipse Theatre Company Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Eden Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
emccan CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Emergency Exit Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
English Folk Dance and Song Society,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
English Folk Expo,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
English National Ballet,3,LOT,National Lottery,Band 3,True,False,False,False,False
English National Opera,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
English PEN,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
English Stage Company Limited,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
English Touring Opera Ltd,3,LOT,National Lottery,Band 3,True,False,False,False,False
English Touring Theatre Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Entelechy Arts Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Essex Cultural Diversity Project,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Ex Cathedra Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Exeter City Council,2,GIA,Grant in Aid,Band 2,True,False,True,True,False
Exeter Northcott Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Exeter Phoenix,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Extant,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Eye Music Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Fabrica,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
FACT,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Farnham Maltings Association,2,LOT,National Lottery,Band 2,True,False,False,False,False
Fevered Sleep,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
FIERCE! Festival,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Film and Video Umbrella,2,LOT,National Lottery,Band 2,True,False,False,False,False
Film London,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Firstsite Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Flatpack Projects,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Focal Point Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Forced Entertainment Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Forma Arts and Media Limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Forward Arts Foundation,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Foundation for Community Dance t/a People Dancing,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Frantic Theatre Company Ltd,1,LOT,National Lottery,Band 1,True,False,False,False,False
Free Word,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Freedom Festival Arts Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Freedom Studios,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Friction Arts,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Fuel Productions,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Furtherfield.org,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Future Everything CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Gecko Theatre,1,LOT,National Lottery,Band 1,True,False,False,False,False
Gem Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Generator North East,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Global Grooves,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Gloucestershire Everyman Theatre Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Glyndebourne Productions Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Goole Town Council,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Graeae Theatre Company Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Grand Union,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Great Georges Community Cultural Project Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Greater Manchester Arts Centre Ltd,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Greenwich+Docklands Festivals,1,LOT,National Lottery,Band 1,True,False,False,False,False
Grimm & Co,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Grizedale Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Grundy Art Gallery,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Gulbenkian Theatre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
hÅb,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Hackney Empire Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Half Moon Young People's Theatre,1,LOT,National Lottery,Band 1,True,False,False,False,False
Halle Concerts Society,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Hampstead Theatre Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Harrogate Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Havering Theatre Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Headlong Theatre Ltd,2,LOT,National Lottery,Band 2,True,False,False,False,False
Heads Together Productions Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Heart n Soul,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Heart of Glass,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Helix Arts Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Higher Rhythm Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Highlights Productions,1,LOT,National Lottery,Band 1,True,False,False,False,False
HighTide Festival Productions LTD,1,LOT,National Lottery,Band 1,True,False,False,False,False
Hofesh Shechter Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
Home Live Art,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Homotopia Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Hoot Creative Arts,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Horniman Museum and Gardens,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
