Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Kendal Brewery Arts Centre,2,,http://www.breweryarts.co.uk,South Lakeland,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Kettle's Yard,2,University of Cambridge (Kettle's Yard),http://kettlesyard.co.uk,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 2,Visual arts,True,False,True,False,False
Kids in Museums,SSO,,http://www.kidsinmuseums.org.uk,Southwark,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Museums,False,False,False,False,False
Kinetika Bloco,1,,http://www.kinetikabloco.co.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Kinetika People,1,,http://www.kinetikaonline.co.uk,Thurrock,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Kirklees Theatre Trust,1,,http://www.thelbt.org,Kirklees,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Kneehigh Theatre Trust,2,,http://kneehigh.co.uk,Cornwall,South West,South West,South West,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Knowle West Media Centre,1,,http://kwmc.org.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Koestler Trust,1,,http://www.koestlertrust.org.uk,Hammersmith and Fulham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Lakes Arts Festivals Ltd,1,,http://www.comicartfestival.com,South Lakeland,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Lancaster Arts at Lancaster University,1,Lancaster University,http://www.lancasterarts.org,Lancaster,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Lapworth Museum of Geology,1,University of Birmingham,http://www.bham.ac.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Ledbury Poetry Festival,1,,http://www.poetry-festival.co.uk,"Herefordshire, County of",Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Leeds Museums and Galleries,3,Leeds City Council,http://www.leeds.gov.uk/museumsandgalleries,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Leeds Theatre Trust Limited,3,,http://www.wyp.org.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Leicester Arts Centre Limited,1,,http://www.phoenix.org.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Leicester City Council,2,,https://www.leicester.gov.uk/leisure-and-culture/museums-and-galleries,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Leicester Dance Theatre Limited,2,,http://www.aakashodedra.com,Leicester,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 2,Dance,False,False,False,False,False
Leicester Print Workshop,1,Leicester Print Workshop Studios and Resource,http://www.leicesterprintworkshop.com,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Leicester Theatre Trust Ltd,3,,http://www.curveonline.co.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Leicestershire County Council,SSO,,http://WWW.LEICS.GOV.UK,Blaby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Level Centre Ltd,1,,http://www.levelcentre.com,Derbyshire Dales,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Libraries Unlimited South West,1,,http://librariesunlimited.org.uk,Exeter,South West,South West,South West,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
Lighthouse Arts and Training Ltd,1,,http://www.lighthouse.org.uk,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Lincoln Arts Trust Limited,1,,http://www.lincolndrillhall.com,Lincoln,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Lincolnshire County Council,1,,http://www.thecollectionmuseum.com,Lincoln,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Literature Works,1,,http://www.literatureworks.org.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Littleworld Ltd t/a Horse and Bamboo Theatre,1,,http://www.horseandbamboo.org,Rossendale,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Live & Local Ltd,2,,http://www.liveandlocal.org.uk,Warwick,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 2,Combined arts,True,False,False,False,False
Live Art Development Agency,1,,http://www.thisisliveart.co.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Live Theatre Winchester Trust,1,,http://www.hatfair.co.uk,Winchester,South West,South West,South East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Liverpool & Merseyside Theatres Trust Ltd,3,,http://www.everymanplayhouse.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Liverpool Arab Arts Festival,1,,http://www.arabartsfestival.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Liverpool Biennial of Contemporary Art Ltd,2,,http://www.biennial.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Liverpool City Council Culture Liverpool,2,Liverpool City Council,http://www.cultureliverpool.co.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 2,Combined arts,False,False,False,False,False
London Arts in Health Forum,1,,http://www.lahf.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Not discipline specific,True,False,False,False,False
London Borough of Barking and Dagenham,1,,http://www.lbbd.gov.uk,Barking and Dagenham,London,London,London,GIA,Grant in Aid,Band 1,Libraries,False,False,False,False,False
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,1,London Borough of Waltham Forest,http://www.wmgallery.org.uk,Waltham Forest,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
London International Festival of Theatre,2,,http://www.liftfestival.com,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
London International Mime Festival,1,,http://www.mimelondon.com,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
London Philharmonic Orchestra,3,,http://www.lpo.org.uk,Lambeth,London,London,London,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
London Print Studio Ltd,1,,http://www.londonprintstudio.org.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
London Symphony Orchestra,3,,http://www.lso.co.uk,City of London,London,London,London,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
London Transport Museum,1,,http://www.ltmuseum.co.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Loud In Libraries CIC,1,,http://www.getitloudinlibraries.com,Wigan,North,North West,North West,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Ludus Dance,1,,http://www.ludusdance.org,Lancaster,North,North West,North West,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Luton Carnival Arts Development Trust,1,,http://www.carnivalarts.org.uk,Luton,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Luton Cultural Services Trust,1,,http://www.lutonculture.com,Luton,South East,East,East of England,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
LUX,1,,http://www.lux.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
M6 THEATRE COMPANY LIMITED,1,,http://www.m6theatre.co.uk,Rochdale,North,North West,North West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Magna Vitae,1,,http://www.magnavitae.org,East Lindsey,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Mahogany Community Ventures Limited,1,,http://www.mahoganycarnival.com,Brent,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Manchester Camerata Limited,1,,http://www.manchestercamerata.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Manchester City Galleries,SSO,,http://www.manchestergalleries.org,Manchester,North,North West,North West,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Manchester City Galleries,3,,http://www.manchestergalleries.org,Manchester,North,North West,North West,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
Manchester Craft And Design,1,,http://www.craftanddesign.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Manchester Jazz Festival,1,,http://www.manchesterjazz.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Manchester Jewish Museum,1,,http://www.manchesterjewishmuseum.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Manchester Literature Festival,1,,http://www.manchesterliteraturefestival.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Manchester Young People's Theatre trading as Contact,2,,http://contactmcr.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Mandinga Arts,1,,http://www.mandingaarts.co.uk,Lambeth,London,London,London,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Matt's Gallery Ltd,1,,https://www.mattsgallery.org/,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
MAYK Theatre CIC,1,,http://www.mayk.org.uk,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Meadow Arts,1,,http://www.meadowarts.org,Shropshire,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
