Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
National Association for Gallery Education (engage),SSO,,http://www.engage.org,Tower Hamlets,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Visual arts,True,False,False,False,False
National Centre for Circus Arts,2,,http://www.nationalcircus.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
National Criminal Justice Arts Alliance,SSO,Clinks,http://www.artsincriminaljustice.org.uk,Camden,National,London,London,GIA,Grant in Aid,Sector Support Organisation,Combined arts,False,False,False,False,False
National Horseracing Museum,1,,http://www.palacehousenewmarket.co.uk,Forest Heath,South East,East,East of England,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
National Justice Museum,1,,http://www.galleriesofjustice.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
National Opera Studio,1,,http://www.nationaloperastudio.org.uk,Wandsworth,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
National Rural Touring Forum,1,,http://www.ruraltouring.org,York,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
National Student Drama Festival,1,,http://www.nsdf.org.uk,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
National Theatre,3,Royal National Theatre,https://www.nationaltheatre.org.uk/,Lambeth,London,London,London,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
National Youth Choirs of Great Britain,1,,http://www.nycgb.org.uk,County Durham,North,North East,North East,GIA,Grant in Aid,Band 1,Music,True,False,False,True,False
National Youth Jazz Collective,1,,http://www.nationalyouthjazz.co.uk,Islington,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,True,False
National Youth Jazz Orchestra,1,,http://www.nyjo.org.uk,Westminster,London,London,London,LOT,National Lottery,Band 1,Music,True,False,False,False,False
National Youth Orchestra of Great Britain,1,,http://www.nyo.org.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,True,False
National Youth Theatre of Great Britain,2,,http://www.nyt.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
New Art Exchange Ltd,2,,http://www.nae.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
New Contemporaries (1988) Ltd,1,,http://www.newcontemporaries.org.uk,Tower Hamlets,London,London,London,LOT,National Lottery,Band 1,Visual arts,True,False,False,False,False
New International Encounter,1,,http://www.nie-theatre.com,Cambridge,South East,East,East of England,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
New Perspectives Theatre Company,2,,http://www.newperspectives.co.uk,Nottingham,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
New Wolsey Theatre Company Ltd,2,,http://www.wolseytheatre.co.uk,Ipswich,South East,East,East of England,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
New Writing North,2,,http://www.newwritingnorth.com,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 2,Literature,True,False,True,False,False
New Writing South,1,,http://www.newwritingsouth.com,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Newhampton Arts Centre,1,,http://www.newhamptonarts.co.uk,Wolverhampton,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Newlyn Art Gallery Ltd,2,,http://www.newlynartgallery.co.uk,Cornwall,South West,South West,South West,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Nine Arches Press,1,,http://www.ninearchespress.com,Rugby,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Literature,False,False,False,False,False
NMC Recordings Ltd.,1,,http://www.nmcrec.co.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
NN Contemporary Art,1,Northampton Arts Collective Ltd,http://www.nncontemporaryart.org,Northampton,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
no.w.here arts limited,1,,http://www.no-w-here.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
NoFit State Community Circus Ltd,1,,http://www.nofitstate.org,Cardiff,Midlands,West Midlands,WALES,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Norfolk and Norwich Festival Trust,SSO,,http://www.nnfestival.org.uk/,Norwich,South East,East,East of England,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Norfolk and Norwich Festival Trust,2,,http://www.nnfestival.org.uk/,Norwich,South East,East,East of England,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Norfolk Museums Service,SSO,,http://www.museums.norfolk.gov.uk,Norwich,South East,East,East of England,GIA,Grant in Aid,Sector Support Organisation,Museums,True,False,False,False,True
Norfolk Museums Service,3,,http://www.museums.norfolk.gov.uk,Norwich,South East,East,East of England,GIA,Grant in Aid,Band 3,Museums,True,False,False,False,False
North East Theatre Trust Ltd,2,,http://www.live.org.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
North Kesteven District Council,1,,http://www.n-kesteven.gov.uk,North Kesteven,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
North Lincolnshire Council 20-21 Visual Arts Centre,1,North Lincolnshire Council,http://www.2021visualartscentre.co.uk,North Lincolnshire,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
North Music Trust,3,,http://www.sagegateshead.com,Gateshead,North,North East,North East,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Northampton Theatres Trust,2,,http://www.royalandderngate.co.uk,Northampton,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Northern Ballet Limited,3,,http://northerballet.com,Leeds,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 3,Dance,True,False,False,False,False
Northern Broadsides Theatre Company,2,,http://northern-broadsides.co.uk,Calderdale,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Northern Print,1,Northern Print Studio Ltd,http://northernprint.org.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Northern School of Contemporary Dance,1,,http://www.nscd.ac.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Dance,False,False,False,False,False
Northern Stage (Theatrical Productions) Ltd,3,,http://www.northernstage.co.uk,Newcastle upon Tyne,North,North East,North East,LOT,National Lottery,Band 3,Theatre,True,False,False,False,False
Norwich Arts Centre,1,,http://norwichartscentre.co.uk/,Norwich,South East,East,East of England,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Nottingham City Museums and Galleries,2,Nottingham City Council,http://www.nottinghamcastle.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
Nottingham Contemporary,3,,http://www.nottinghamcontemporary.org,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 3,Visual arts,True,False,False,False,False
Nottingham Media Centre Ltd,1,,http://www.broadway.org.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Nottingham Playhouse,3,,http://www.nottinghamplayhouse.co.uk,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
November Club,1,,http://www.novemberclub.org.uk,Northumberland,North,North East,North East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
NTS Live,1,,http://www.ntslive.co.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Nutkhut,1,Nutkhut Ltd,http://www.nutkhut.co.uk,Greenwich,London,London,London,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Ockham's Razor,1,,http://www.ockhamsrazor.co.uk,Hammersmith and Fulham,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Octopus Collective Ltd.,1,,http://www.octopuscollective.org,Barrow-in-Furness,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Oily Cart,2,,http://www.oilycart.org.uk,Wandsworth,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Oldham Coliseum Theatre,2,,http://www.coliseum.org.uk,Oldham,North,North West,North West,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
One Dance UK,SSO,,http://www.onedanceuk.org,Birmingham,National,West Midlands,West Midlands,GIA,Grant in Aid,Sector Support Organisation,Dance,False,False,False,False,False
Open Clasp Theatre Company,1,,http://www.openclasp.org.uk,Newcastle upon Tyne,North,North East,North East,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Open Eye gallery,1,,http://www.openeye.org.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Open School East,1,,http://www.openschooleast.org,Thanet,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Open Theatre Company,1,,http://www.opentheatre.co.uk,Coventry,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
OpenUp Music,1,,http://www.openupmusic.org,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Opera North Limited,3,,http://www.operanorth.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Orchestra of the Age of Enlightenment,1,,http://www.oae.co.uk,Islington,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Orchestras Live,2,,http://www.orchestraslive.org.uk,Islington,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
OTO Projects CIC,1,,http://www.cafeoto.co.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Otolith Collective Ltd,1,,http://www.otolithgroup.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Out of Joint,2,,http://www.outofjoint.co.uk,Islington,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Outside In,1,Outside In Art,http://www.outsidein.org.uk,Chichester,South East,South East,South East,LOT,National Lottery,Band 1,Visual arts,False,False,False,False,False
Oxford Contemporary Music,1,,http://www.ocmevents.org,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Oxford Playhouse Trust,2,,http://www.oxfordplayhouse.com,Oxford,South East,South East,South East,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Pagoda Arts,1,,http://www.pagodaarts.org.uk,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Paines Plough,2,,http://www.painesplough.com,Westminster,London,London,London,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Palace Theatre Watford Limited,2,,http://www.watfordpalacetheatre.co.uk,Watford,South East,East,East of England,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Pallant House Gallery,1,,http://pallant.org.uk,Chichester,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Paraiso School of Samba,1,,http://www.paraisosamba.co.uk,Camden,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Paraorchestra and Friends,1,,http://www.paraorchestra.com,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Pavilion Dance South West Ltd,2,,http://www.pdsw.org.uk,Bournemouth,South West,South West,South West,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Peckham Platform Ltd,1,,http://www.peckhamplatform.com,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Peepal Tree Press,1,,http://www.peepaltreepress.com,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Peer UK,1,,http://www.peeruk.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Pegasus Theatre Trust,2,,http://www.pegasustheatre.org.uk,Oxford,South East,South East,South East,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Penned in the Margins,1,,http://www.pennedinthemargins.co.uk,Tower Hamlets,London,London,London,LOT,National Lottery,Band 1,Literature,True,False,False,False,False
Pentabus Arts Ltd,1,,http://www.pentabus.co.uk,Shropshire,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
People Express,1,,http://www.people-express.org.uk,South Derbyshire,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
People United,1,,http://www.peopleunited.org.uk,Canterbury,South East,South East,South East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
People's History Museum,2,National Museum of Labour History,http://www.phm.org.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 2,Museums,False,False,False,False,False
People's Palace Projects,1,,http://www.peoplespalace.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Perfect Pitch Musicals Ltd,1,,http://www.perfectpitchmusicals.com,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Performances Birmingham Limited,1,,http://www.thsh.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
Peshkar,1,,http://www.peshkar.co.uk,Oldham,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Philharmonia Limited,3,,http://www.philharmonia.co.uk,Southwark,London,London,London,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Phoenix Dance Theatre,2,,http://www.phoenixdancetheatre.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Photofusion,1,,http://www.photofusion.org,Lambeth,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Photoworks,2,,http://www.photoworks.org.uk,Brighton and Hove,South East,South East,South East,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Pilot Theatre Ltd,2,,http://www.pilot-theatre.com,York,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,3,,http://www.stratfordeast.com,Newham,London,London,London,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Plymouth Culture,SSO,,http://www.plymouthculture.co.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Sector Support Organisation,Not discipline specific,False,False,False,False,False
Plymouth Music Zone Ltd,1,,http://www.plymouthmusiczone.org.uk,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Pocklington Arts Centre,1,Pocklington Town Council T/A Pocklington Arts Centre,http://www.pocklingtonartscentre.co.uk,East Riding of Yorkshire,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
PoemsOnTheUnderground,1,,-,Camden,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Poet in the City,1,,http://www.poetinthecity.co.uk,Islington,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Poetry London,1,,http://www.poetrylondon.co.uk,Lewisham,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Poetry Translation Centre Ltd,1,,http://www.poetrytranslation.org,City of London,London,London,London,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Polish Expats Association cic,1,,http://www.centrala-space.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Polka Theatre,2,Polka Children's Theatre Limited,http://www.polkatheatre.com,Merton,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Poole Arts Trust Ltd,2,,http://www.lighthousepoole.co.uk,Poole,South West,South West,South West,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Pop Up Projects CIC,1,,http://www.pop-up.org.uk,Peterborough,South East,East,East of England,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
PopUp Initiative CIC (The NewBridge Project),1,,http://www.thenewbridgeproject.com,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Portsmouth New Theatre Royal,1,new theatre royal trustees (portsmouth) limited ,http://www.newtheatreroyal.com,Portsmouth,South West,South West,South East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Prema Arts Centre,1,Prema,http://www.prema.org.uk,Stroud,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Preston City Council,1,,http://www.harrismuseum.org.uk,Preston,North,North West,North West,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Primary,1,Nottingham Studios,http://www.weareprimary.org,Nottingham,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Prime Theatre,1,,http://www.primetheatre.co.uk,Swindon,South West,South West,South West,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Prism Arts,1,,http://www.prismarts.org.uk,Carlisle,North,North West,North West,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Project Art Works,1,,http://www.projectartworks.org,Hastings,South East,South East,South East,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Project Phakama UK,1,,http://www.projectphakama.org,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Project Space Leeds,2,,http://www.thetetley.org,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Visual arts,False,False,False,False,False
Protein Dance Ltd,1,,http://www.proteindance.co.uk,Greenwich,London,London,London,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
Proteus Theatre Company,1,,http://www.proteustheatre.com,Basingstoke and Deane,South West,South West,South East,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Psappha Limited,1,,http://www.psappha.com/,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
PUNCH RECORDS,2,,http://www.punch-reocrds.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Punchdrunk,1,,http://www.punchdrunk.org.uk,Haringey,London,London,London,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Quarantine,1,,http://qtine.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Queen's Hall Arts,1,,http://www.queenshall.co.uk,Northumberland,North,North East,North East,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Rambert,3,,http://rambert.org.uk,Lambeth,London,London,London,LOT,National Lottery,Band 3,Dance,True,False,False,False,False
Raw Material Music and Media Education,1,,http://rawmusicmedia.co.uk/,Lambeth,London,London,London,LOT,National Lottery,Band 1,Music,True,False,False,False,False
Re:Bourne,3,,http://www.new-adventures.net,Waverley,South East,South East,South East,LOT,National Lottery,Band 3,Dance,True,False,False,False,False
Readipop,1,,http://www.readipop.co.uk,Reading,South East,South East,South East,GIA,Grant in Aid,Band 1,Music,False,False,False,False,False
Real Ideas Organisation CIC,SSO,,http://www.realideas.org,Plymouth,South West,South West,South West,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Real Ideas Organisation CIC,1,,http://www.realideas.org,Plymouth,South West,South West,South West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Red Earth Theatre Limited,1,,http://www.redearththeatre.com,Amber Valley,Midlands,East Midlands,East Midlands,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Red Ladder Theatre Company,1,,http://www.redladder.co.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Redbridge Drama Centre,1,Vision - Redbridge Culture & Leisure Ltd,http://www.redbridgedramacentre.co.uk,Redbridge,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Redeye (North West Photography Network) Ltd,SSO,,http://www.redeye.org.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Sector Support Organisation,Visual arts,True,False,False,False,False
Resonance,1,London Musicians' Collective Limited,http://resonance.fm,Southwark,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Rich Mix Cultural Foundation,2,,http://www.richmix.org.uk,Tower Hamlets,London,London,London,GIA,Grant in Aid,Band 2,Combined arts,True,False,False,False,False
Rifco Arts,2,,http://www.rifcoarts.com,Watford,South East,East,East of England,LOT,National Lottery,Band 2,Theatre,True,False,False,False,False
Ripon Museum Trust,1,,http://riponmuseums.co.uk,Harrogate,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
RJC Dance,1,RJC Productions Ltd,http://www.rjcdance.org.uk,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Rosehill Arts Trust,1,,http://rosehilltheatre.co.uk,Copeland,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Roses Theatre Trust,1,,http://rosestheatre.org,Tewkesbury,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Rosetta Art Centre,1,,http://www.rosettaarts.org,Newham,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Rosie Kay Dance Company,1,,http://rosiekay.co.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Dance,False,False,False,False,False
Rotherham Open Arts Renaissance (ROAR),1,,http://www.rotherhamroar.com,Rotherham,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Royal Court Liverpool Trust,1,,http://www.royalcourtliverpool.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
Royal Exchange Theatre Company Ltd,3,,http://www.royalexchange.co.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Royal Liverpool Philharmonic,3,,http://liverpoolphil.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Royal Opera House,3,,http://www.roh.org.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 3,Music,True,False,False,False,False
Royal Opera House,SSO,,http://www.roh.org.uk,Thurrock,South East,East,East of England,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
Royal Philharmonic Orchestra Ltd,2,,http://www.rpo.co.uk,Islington,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Royal Shakespeare Company,3,,http://www.rsc.org.uk,Stratford-on-Avon,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
RTYDS Ltd,SSO,,http://www.rtyds.co.uk,Manchester,National,North West,North West,GIA,Grant in Aid,Sector Support Organisation,Theatre,False,False,False,False,False
Rural Arts North Yorkshire,1,,http://WWW.RURALARTS.ORG,Hambleton,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Rural Media Charity,1,,http://www.ruralmedia.co.uk,"Herefordshire, County of",Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Russell Maliphant Company,1,,http://www.russellmaliphant.com,Ipswich,South East,East,East of England,GIA,Grant in Aid,Band 1,Dance,False,False,False,False,False
Sadler's Wells,3,,http://www.sadlerswells.com,Islington,London,London,London,LOT,National Lottery,Band 3,Dance,True,False,False,False,False
Salisbury Arts Theatre Ltd,3,,http://www.salisburyplayhouse.com,Wiltshire,South West,South West,South West,GIA,Grant in Aid,Band 3,Theatre,True,False,True,False,False
Sampad (South Asian Arts Development),1,,http://www.sampad.org.uk,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Scarborough Theatre Trust Ltd,2,,http://www.sjt.uk.com,Scarborough,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Serendipity,1,Serendipity Artists Movement Ltd,http://www.serendipity-uk.com,Leicester,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Dance,False,False,False,False,False
Serious Events Limited,2,,http://www.serious.org.uk,Islington,London,London,London,GIA,Grant in Aid,Band 2,Music,True,False,False,False,False
Serpentine Galleries,3,,http://www.serpentinegalleries.org,Westminster,London,London,London,GIA,Grant in Aid,Band 3,Visual arts,True,False,False,False,False
"Seven Stories, The National Centre for Children's Books",2,,http://www.sevenstories.org.uk,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 2,Literature,True,False,False,False,False
Shademakers UK Carnival Club,1,,http://www.shademakersuk.org,Isle of Wight,South West,South West,South East,LOT,National Lottery,Band 1,Combined arts,True,False,False,False,False
Shakespeare Birthplace Trust,1,,http://www.shakespeare.org.uk,Stratford-on-Avon,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Museums,False,False,False,False,False
Shape London,2,,http://www.shapearts.org.uk,Camden,London,London,London,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Sheffield Doc/Fest,1,,http://www.sheffdocfest.com,Sheffield,North,Yorkshire,Yorkshire and The Humber,LOT,National Lottery,Band 1,Visual arts,False,False,False,False,False
Sheffield Galleries & Museums Trust,2,,http://www.museums-sheffield.org.uk,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Museums,True,False,False,False,False
Sheffield Theatres Trust Ltd,3,,http://sheffieldtheatres.co.uk,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 3,Theatre,True,False,False,False,False
Shobana Jeyasingh Dance Company,2,,http://www.shobanajeyasingh.co.uk,Westminster,London,London,London,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Shubbak: A Window on Contemporary Arab Culture,1,,http://www.shubbak.co.uk,Kensington and Chelsea,London,London,London,LOT,National Lottery,Band 1,Combined arts,False,False,False,False,False
SICK! Productions,1,,http://www.sickfestival.com,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,False,False,False,False,False
Sinfonietta Productions Limited,2,,http://www.londonsinfonietta.org.uk,Islington,London,London,London,LOT,National Lottery,Band 2,Music,True,False,False,False,False
Siobhan Davies Dance,2,,http://www.siobhandavies.com,Southwark,London,London,London,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
Site Gallery,2,,http://www.sitegallery.org,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 2,Visual arts,True,False,False,False,False
Slung Low Limited,1,,http://www.slunglow.org,Leeds,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Small Green Shoots,1,,http://www.smallgreenshoots.co.uk/,Camden,London,London,London,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
