Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Bedford Creative Arts,1,,South East,East,East of England,Combined arts,True,143740,143740,143740,431220,143740,143740,143740,143740,574960,GIA,0,,Bedford,http://bedfordcreativearts.org.uk,Grant in Aid,Band 1,False,False,False,False
Belgrade Theatre Trust (Coventry) Ltd,2,,Midlands,West Midlands,West Midlands,Theatre,True,942214,942214,942214,2826643,942215,942215,942215,942215,3768860,GIA,3.8019296597313813e-07,,Coventry,http://www.belgrade.co.uk,Grant in Aid,Band 2,False,False,False,False
Bermondsey Artists’ Group,1,,London,London,London,Visual arts,True,134006,134006,134006,402018,134006,134006,134006,134006,536024,GIA,0,,Southwark,http://www.cgplondon.org,Grant in Aid,Band 1,False,False,False,False
Bernard Leach Trust Limited  (Leach Pottery),1,,South West,South West,South West,Visual arts,True,40000,40000,40000,120000,40000,40000,40000,40000,160000,GIA,0,,Cornwall,http://www.leachpottery.com,Grant in Aid,Band 1,False,False,False,False
Berwick Film & Media Arts Festival,1,Berwick Film and Media Arts Festival,North,North East,North East,Visual arts,True,47913,47913,47913,143740,70000,70000,70000,70000,280000,GIA,0.46096986712540416,,Northumberland,http://www.berwickfilm-artsfest.com,Grant in Aid,Band 1,False,False,False,False
Bharatiya Vidya Bhavan Ltd,1,,London,London,London,Music,True,128999,128999,128999,386997,128999,128999,128999,128999,515996,GIA,0,,Hammersmith and Fulham,http://www.bhavan.net,Grant in Aid,Band 1,False,False,False,False
Eastside Projects,1,Birmingham City University,Midlands,West Midlands,West Midlands,Visual arts,True,123415,123415,123415,370245,123415,123415,123415,123415,493660,GIA,-2.2397963364373836e-06,,Birmingham,http://www.bcu.ac.uk,Grant in Aid,Band 1,False,False,False,False
Birmingham Contemporary Music Group,2,,Midlands,West Midlands,West Midlands,Music,True,319653,319653,319653,958959,319653,319653,319653,319653,1278612,GIA,-4.262574491049258e-07,,Birmingham,http://www.bcmg.org.uk,Grant in Aid,Band 2,False,False,False,False
Birmingham LGBT,1,,Midlands,West Midlands,West Midlands,Combined arts,False,0,0,0,0,91500,91500,91500,91500,366000,GIA,,,Birmingham,http://www.birminghamlgbt.org,Grant in Aid,Band 1,False,False,False,False
Birmingham Museums Trust,3,,Midlands,West Midlands,West Midlands,Museums,True,1007568,1007568,1007568,3022704,1007568,1007568,1007568,1007568,4030272,GIA,0,,Birmingham,http://www.birminghammuseums.org.uk/,Grant in Aid,Band 3,False,False,False,False
Birmingham Opera Company,2,,Midlands,West Midlands,West Midlands,Music,True,327644,327644,327644,982932,477644,477644,477644,477644,1910576,GIA,0.45781339366038937,,Birmingham,http://www.birminghamopera.org.uk,Grant in Aid,Band 2,False,False,False,False
Birmingham Repertory Theatre,3,,Midlands,West Midlands,West Midlands,Theatre,True,1833952,1833952,1833952,5501857,1833953,1833953,1833953,1833953,7335812,GIA,2.50331008124146e-07,,Birmingham,http://www.birmingham-rep.co.uk,Grant in Aid,Band 3,False,False,False,False
Birmingham Royal Ballet,3,,Midlands,West Midlands,West Midlands,Dance,True,7891000,7891000,7891000,23673000,7891000,7891000,7891000,7891000,31564000,GIA,0,,Birmingham,http://www.brb.org.uk,Grant in Aid,Band 3,False,False,False,False
Black Bird/Red Rose Productions,1,,South West,South West,South West,Dance,True,200000,200000,200000,600000,200000,200000,200000,200000,800000,GIA,0,,Mendip,http://www.markbrucecompany.com,Grant in Aid,Band 1,False,False,False,False
Black Country Living Museum Trust,2,,Midlands,West Midlands,West Midlands,Museums,True,886000,886000,886000,2658000,550000,550000,550000,550000,2200000,GIA,-0.3792325056433409,"Technical Reduction. Black Country Living Museum is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",Dudley,http://www.bclm.com,Grant in Aid,Band 2,False,False,True,False
Black Country Touring,1,,Midlands,West Midlands,West Midlands,Combined arts,True,143496,143496,143496,430490,143497,143497,143497,143497,573988,LOT,1.8747121036342828e-06,,Sandwell,http://www.bctouring.co.uk,National Lottery,Band 1,False,False,False,False
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,,North,North West,North West,Dance,True,159992,159992,159992,479976,209992,209992,209992,209992,839968,GIA,0.31251562578128905,,Blackpool,http://www.blackpoolgrand.co.uk,Grant in Aid,Band 1,False,False,False,False
Blast Theory,1,,South East,South East,South East,Combined arts,True,134157,134157,134157,402472,134157,134157,134157,134157,536628,LOT,-3.3955921282908406e-06,,Brighton and Hove,http://www.blasttheory.co.uk,National Lottery,Band 1,False,False,False,False
Blind Summit Education,1,,London,London,London,Theatre,True,75435,75435,75435,226305,75435,75435,75435,75435,301740,GIA,0,,Islington,http://www.blindsummit.com,Grant in Aid,Band 1,False,False,False,False
Bloodaxe Books Ltd,1,,North,North East,North East,Literature,True,92032,92032,92032,276096,92032,92032,92032,92032,368128,GIA,0,,Northumberland,http://www.bloodaxebooks.com,Grant in Aid,Band 1,False,False,False,False
Blue Elephant Theatre,1,,London,London,London,Theatre,False,0,0,0,0,72500,72500,72500,72500,290000,GIA,,,Southwark,http://www.blueelephanttheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
BOM (Birmingham Open Media),1,Birmingham Open Media CIC,Midlands,West Midlands,West Midlands,Visual arts,False,0,0,0,0,142600,142600,142600,142600,570400,GIA,,,Birmingham,http://www.bom.org.uk,Grant in Aid,Band 1,False,False,False,False
Book Works,1,,London,London,London,Visual arts,True,176512,176512,176512,529536,176512,176512,176512,176512,706048,GIA,0,,Hackney,http://www.bookworks.org.uk,Grant in Aid,Band 1,False,False,False,False
Borough of Poole Museum Service,2,,South West,South West,South West,Museums,False,0,0,0,0,319500,319500,319500,319500,1278000,GIA,,,Poole,-,Grant in Aid,Band 2,False,False,False,False
Boundless Theatre,1,,London,London,London,Theatre,True,186063,186063,186063,558189,186063,186063,186063,186063,744252,GIA,0,,Southwark,http://www.boundlesstheatre.org.uk,Grant in Aid,Band 1,False,False,False,False
Bournemouth Borough Council,1,,South West,South West,South West,Combined arts,True,150000,150000,150000,450000,150000,150000,150000,150000,600000,GIA,0,,Bournemouth,http://www.bournemouth.gov.uk,Grant in Aid,Band 1,False,False,False,False
Bournemouth Symphony Orchestra,3,,South West,South West,South West,Music,True,2554790,2554790,2554790,7664370,2554790,2554790,2554790,2554790,10219160,LOT,0,,Poole,http://www.bsolive.com,National Lottery,Band 3,False,False,False,False
Bow Arts Trust,1,,London,London,London,Visual arts,True,50290,50290,50290,150870,50290,50290,50290,50290,201160,GIA,0,,Tower Hamlets,http://www.bowarts.org,Grant in Aid,Band 1,False,False,False,False
Boy Blue Entertainment,1,,London,London,London,Dance,False,0,0,0,0,200000,200000,200000,200000,800000,LOT,,,City of London,http://www.boyblueent.com,National Lottery,Band 1,False,False,False,False
Brass Bands England,SSO,,National,Yorkshire,Yorkshire and The Humber,Music,True,142000,142000,142000,426000,207000,207000,207000,207000,828000,GIA,0.45774647887323944,,Barnsley,http://www.brassbandsengland.co.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Bridport Arts Centre,1,,South West,South West,South West,Combined arts,True,57412,57412,57412,172236,57412,57412,57412,57412,229648,GIA,0,,West Dorset,http://www.bridport-arts.com,Grant in Aid,Band 1,False,False,False,False
Brighton & Hove City Council,2,Royal Pavilion & Museums,South East,South East,South East,Museums,True,698507,698507,698507,2095521,698507,698507,698507,698507,2794028,GIA,0,,Brighton and Hove,http://www.brightonmuseums.org.uk,Grant in Aid,Band 2,False,False,False,False
Brighton Dome & Festival Limited,3,,South East,South East,South East,Combined arts,True,1149921,1149921,1149921,3449763,1149921,1149921,1149921,1149921,4599684,GIA,-4.1324576260596024e-08,,Brighton and Hove,http://www.brightonfestival.org,Grant in Aid,Band 3,False,False,False,False
Bristol Cultural Development Partnership,1,,South West,South West,South West,Combined arts,True,50289,50289,50289,150869,50290,50290,50290,50290,201160,GIA,2.376656911077491e-06,,North Somerset,http://www.ideasfestival.co.uk,Grant in Aid,Band 1,False,False,False,False
Bristol Museums,3,Bristol City Council,South West,South West,South West,Museums,True,1576082,1576082,1576082,4728246,1339670,1339670,1339670,1339670,5358680,GIA,-0.14999980965457382,,"Bristol, City of",https://www.bristol.gov.uk/,Grant in Aid,Band 3,False,False,False,False
Bristol Music Trust,2,,South West,South West,South West,Music,True,325000,325000,325000,975000,325000,325000,325000,325000,1300000,GIA,0,,"Bristol, City of",http://www.colstonhall.org/,Grant in Aid,Band 2,False,False,False,False
Bristol Old Vic and Theatre Royal Trust Ltd,3,,South West,South West,South West,Theatre,True,1228381,1228381,1228381,3685143,1228381,1228381,1228381,1228381,4913524,GIA,0,,"Bristol, City of",http://www.bristololdvic.org.uk,Grant in Aid,Band 3,False,False,False,False
British Motor Industry Heritage Trust,1,,Midlands,West Midlands,West Midlands,Museums,False,0,0,0,0,220000,220000,220000,220000,880000,GIA,,,Stratford-on-Avon,http://www.britishmotormuseum.co.uk,Grant in Aid,Band 1,False,False,False,False
British Underground Ltd,1,,London,London,London,Music,True,151406,151406,151406,454218,151406,151406,151406,151406,605624,GIA,0,,Lambeth,http://www.britishunderground.net,Grant in Aid,Band 1,False,False,False,False
British Youth Opera,1,,London,London,London,Music,True,42621,42621,42621,127863,42621,42621,42621,42621,170484,GIA,0,,Southwark,http://www.byo.org.uk,Grant in Aid,Band 1,False,False,False,False
Britten Sinfonia,2,,South East,East,East of England,Music,True,399261,399261,399261,1197783,399261,399261,399261,399261,1597044,GIA,0,,Cambridge,http://www.brittensinfonia.com,Grant in Aid,Band 2,False,False,False,False
Brownswood Music Ltd,1,,London,London,London,Music,True,89000,89000,89000,267000,89000,89000,89000,89000,356000,GIA,0,,Hackney,http://www.gillespetersonworldwide.com/,Grant in Aid,Band 1,False,False,False,False
b-side Multimedia Festival CIC,1,,South West,South West,South West,Combined arts,True,133651,133651,133651,400953,133651,133651,133651,133651,534604,GIA,0,,Weymouth and Portland,http://www.b-side.org.uk,Grant in Aid,Band 1,False,False,False,False
Bucks County Museum,1,Buckinghamshire County Museum Trust,South East,South East,South East,Museums,False,0,0,0,0,100000,100000,100000,100000,400000,GIA,,,Aylesbury Vale,http://www.buckscountymuseum.org,Grant in Aid,Band 1,False,False,False,False
Bureau of Silly Ideas,1,,London,London,London,Combined arts,True,40231,40231,40231,120695,40232,40232,40232,40232,160928,GIA,2.3766569112221718e-06,,Lambeth,http://www.bureauofsillyideas.com,Grant in Aid,Band 1,False,False,False,False
Burnley Youth Theatre,1,,North,North West,North West,Theatre,True,63365,63365,63365,190096,63365,63365,63365,63365,253460,GIA,-6.960514164393553e-06,,Burnley,http://www.burnleyyouththeatre.org,Grant in Aid,Band 1,False,False,False,False
Burton Art Gallery and Museum,1,The Burton at Bideford,South West,South West,South West,Visual arts,False,0,0,0,0,83600,83600,83600,83600,334400,GIA,,,Torridge,http://www.burtonartgallery.co.uk,Grant in Aid,Band 1,False,False,False,False
Buxton Arts Festival Ltd,1,,Midlands,East Midlands,East Midlands,Music,True,120000,120000,120000,360000,120000,120000,120000,120000,480000,GIA,0,,High Peak,http://buxtonfestival.co.uk,Grant in Aid,Band 1,False,False,False,False
Camden Arts Centre,2,,London,London,London,Visual arts,True,919673,919673,919673,2759019,919673,919673,919673,919673,3678692,GIA,0,,Camden,http://www.camdenartscentre.org,Grant in Aid,Band 2,False,False,False,False
