Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Slung Low Limited,1,,North,Yorkshire,Yorkshire and The Humber,Theatre,True,99671,99671,99671,299013,185141,185141,185141,185141,740564,GIA,0.8575212448957069,,Leeds,http://www.slunglow.org,Grant in Aid,Band 1,False,False,False,False
Small Green Shoots,1,,London,London,London,Music,True,85323,85323,85323,255969,120000,120000,120000,120000,480000,GIA,0.40642030870925777,,Camden,http://www.smallgreenshoots.co.uk/,Grant in Aid,Band 1,False,False,False,False
Snape Maltings,3,,South East,East,East of England,Music,True,1403018,1403018,1403018,4209056,1403019,1403019,1403019,1403019,5612076,GIA,2.3515071818794766e-07,,Suffolk Coastal,http://www.snapemaltings.co.uk,Grant in Aid,Band 3,False,False,False,False
Society Of Chief Librarians,SSO,,National,East,East of England,Libraries,False,0,0,0,0,500000,500000,500000,500000,2000000,GIA,,,Southend-on-Sea,http://www.goscl.com,Grant in Aid,Sector Support Organisation,False,False,False,False
Soft Touch Arts Ltd,1,,Midlands,East Midlands,East Midlands,Combined arts,True,88510,88510,88510,265531,88510,88510,88510,88510,354040,GIA,-4.307914488930374e-06,,Leicester,http://www.soft-touch.org.uk,Grant in Aid,Band 1,False,False,False,False
Soho Theatre Company,2,,London,London,London,Theatre,True,603478,603478,603478,1810434,603478,603478,603478,603478,2413912,GIA,0,,Westminster,http://www.sohotheatre.com,Grant in Aid,Band 2,False,False,False,False
Somerset Art Works,1,SAW Ltd,South West,South West,South West,Visual arts,False,0,0,0,0,90000,90000,90000,90000,360000,GIA,,,South Somerset,http://www.somersetartworks.org.uk,Grant in Aid,Band 1,False,False,False,False
Somerset Film and Video Ltd,1,,South West,South West,South West,Visual arts,True,87453,87453,87453,262359,87453,87453,87453,87453,349812,GIA,0,,Sedgemoor,http://www.somersetfilm.com,Grant in Aid,Band 1,False,False,False,False
Sonia Sabri Company,1,,Midlands,West Midlands,West Midlands,Dance,True,125034,125034,125034,375102,125034,125034,125034,125034,500136,GIA,0,,Birmingham,http://www.ssco.org.uk,Grant in Aid,Band 1,False,False,False,False
Sound UK Arts,1,,London,London,London,Music,True,100580,100580,100580,301740,100580,100580,100580,100580,402320,GIA,0,,Hackney,http://www.sounduk.net,Grant in Aid,Band 1,False,False,False,False
SoundCity,1,,North,North West,North West,Music,False,0,0,0,0,200000,200000,200000,200000,800000,GIA,,,Liverpool,http://www.liverpoolsoundcity.co.uk,Grant in Aid,Band 1,False,False,False,False
South Asian Arts-uk,1,,North,Yorkshire,Yorkshire and The Humber,Music,True,113766,113766,113766,341299,181000,181000,181000,181000,724000,GIA,0.5909782837173961,,Leeds,http://www.saa-uk.org,Grant in Aid,Band 1,False,False,False,False
South East Dance Ltd,2,,South East,South East,South East,Dance,True,570169,570169,570169,1710507,570169,570169,570169,570169,2280676,GIA,0,,Brighton and Hove,http://southeastdance.org.uk/,Grant in Aid,Band 2,False,False,False,False
South East Museum Development Programme,SSO,Brighton & Hove City Council,South East,South East,South East,Museums,True,511612,511612,511612,1534836,511612,511612,511612,511612,2046448,GIA,0,Museum Development,Brighton and Hove,http://www.southeastmuseums.org,Grant in Aid,Sector Support Organisation,False,False,False,True
South London Gallery,2,South London Fine Art Gallery and Library,London,London,London,Visual arts,True,811415,811415,811415,2434245,811415,811415,811415,811415,3245660,GIA,0,,Southwark,http://www.southlondongallery.org,Grant in Aid,Band 2,False,False,False,False
South West Museum Development,SSO,Bristol City Council,South West,South West,South West,Museums,True,530444,530444,530444,1591332,530444,530444,530444,530444,2121776,GIA,0,Museum Development,"Bristol, City of",http://www.southwestmuseums.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,True
Southampton City Council,1,,South West,South West,South East,Visual arts,False,0,0,0,0,100000,100000,100000,100000,400000,GIA,,,Southampton,http://www.southampton.gov.uk,Grant in Aid,Band 1,False,False,False,False
Southbank Centre,3,,London,London,London,Combined arts,True,19186000,19186000,19186000,57558000,18360000,18360000,18360000,18360000,73440000,GIA,-0.043052225581152924,"Technical reduction (£250,000 p/a) -  Southbank Centre applied for a 3% reduction in funding, in line with conversations prior to the application period. The further reduction is an allocation of £250k, which is awarded to the Southbank Centre to manage the Arts Council Collection. This £250k is still in place but for this coming 4 year period will be routed through a separate funding agreement, outside of the NPO programme.",Lambeth,http://www.southbankcentre.co.uk,Grant in Aid,Band 3,False,False,True,False
Spare Tyre Theatre Company Ltd,1,,London,London,London,Theatre,True,150870,150870,150870,452610,150870,150870,150870,150870,603480,GIA,0,,Lewisham,http://www.sparetyre.org,Grant in Aid,Band 1,False,False,False,False
Spike Island Artspace Ltd,2,,South West,South West,South West,Visual arts,True,280000,280000,280000,840000,280000,280000,280000,280000,1120000,LOT,0,,"Bristol, City of",http://spikeisland.org.uk/,National Lottery,Band 2,False,False,False,False
Spitalfields Festival Ltd.,1,,London,London,London,Music,True,70000,70000,70000,210000,70000,70000,70000,70000,280000,GIA,0,,Tower Hamlets,http://www.spitalfieldsmusic.org.uk,Grant in Aid,Band 1,False,False,False,False
Spread the Word,1,,London,London,London,Literature,True,167696,167696,167696,503090,197397,197397,197397,197397,789588,GIA,0.17710640351409554,,Lewisham,http://www.spreadtheword.org.uk,Grant in Aid,Band 1,False,False,False,False
Square Chapel Trust,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,156050,156050,156050,468152,156051,156051,156051,156051,624204,GIA,3.8312853010756144e-08,,Calderdale,http://www.squarechapel.co.uk,Grant in Aid,Band 1,False,False,False,False
ss Great Britain Trust,1,,South West,South West,South West,Museums,False,0,0,0,0,210000,210000,210000,210000,840000,GIA,,,"Bristol, City of",http://www.ssgreatbritain.org,Grant in Aid,Band 1,False,False,False,False
St Helens Council Library Service,1,St Helens Council,North,North West,North West,Libraries,False,0,0,0,0,110000,110000,110000,110000,440000,GIA,,,St. Helens,https://www.sthelens.gov.uk,Grant in Aid,Band 1,False,False,False,False
St Pauls Carnival (Bristol) CIC,1,,South West,South West,South West,Combined arts,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,"Bristol, City of",http://stpaulscarnival.co.uk/,Grant in Aid,Band 1,False,False,False,False
Stagetext,SSO,,National,London,London,Theatre,True,218773,218773,218773,656319,268773,268773,268773,268773,1075092,GIA,0.2285473984449635,,Tower Hamlets,http://www.stagetext.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Stanley Picker Gallery,1,Kingston University,London,London,London,Visual arts,True,80000,80000,80000,240000,80000,80000,80000,80000,320000,GIA,0,,Kingston upon Thames,http://www.stanleypickergallery.org,Grant in Aid,Band 1,False,False,False,False
Stan's Cafe,1,,Midlands,West Midlands,West Midlands,Theatre,True,156864,156864,156864,470593,156865,156865,156865,156865,627460,LOT,2.7848076684855374e-06,,Birmingham,http://www.stanscafe.co.uk,National Lottery,Band 1,False,False,False,False
Stockton Arts Centre Ltd,2,,North,North East,North East,Combined arts,True,306091,306091,306091,918275,306091,306091,306091,306091,1224364,GIA,-2.398085376319353e-06,,Stockton-on-Tees,http://www.arconline.co.uk,Grant in Aid,Band 2,False,False,False,False
Stockton Borough Council Tees Valley Museum Group,2,Stockton on Tees  Borough Council,North,North East,North East,Museums,False,0,0,0,0,375000,375000,375000,375000,1500000,GIA,,,Stockton-on-Tees,http://www.prestonparkmuseum.co.uk/,Grant in Aid,Band 2,False,False,False,False
Stockton International Riverside Festival,2,Stockton Borough Council,North,North East,North East,Combined arts,True,201355,201355,201355,604067,301356,301356,301356,301356,1205424,GIA,0.49663307649339083,,Stockton-on-Tees,http://www.sirf.co.uk,Grant in Aid,Band 2,False,False,False,False
Stoke on Trent & North Staffordshire Theatre Trust,2,,Midlands,West Midlands,West Midlands,Theatre,True,932401,932401,932401,2797203,932401,932401,932401,932401,3729604,GIA,-2.563658407321159e-08,,Newcastle-under-Lyme,http://www.newvictheatre.org.uk,Grant in Aid,Band 2,False,False,False,False
Stopgap Dance Company,2,,South East,South East,South East,Dance,True,191653,191653,191653,574960,276654,276654,276654,276654,1106616,LOT,0.44351127721325556,,Waverley,http://stopgapdance.com,National Lottery,Band 2,False,False,False,False
Stratford Circus,2,Stratford Arts Trust,London,London,London,Combined arts,True,301738,301738,301738,905214,301738,301738,301738,301738,1206952,GIA,0,,Newham,http://www.stratford-circus.com,Grant in Aid,Band 2,False,False,False,False
Streetwise Opera,1,,London,London,London,Music,True,100580,100580,100580,301740,100580,100580,100580,100580,402320,GIA,0,,Camden,http://streetwiseopera.org,Grant in Aid,Band 1,False,False,False,False
Strike A Light,1,,South West,South West,South West,Theatre,False,0,0,0,0,85000,85000,85000,85000,340000,GIA,,,Gloucester,http://www.strikealightfestival.org.uk,Grant in Aid,Band 1,False,False,False,False
Stroud Valleys Artspace,1,,South West,South West,South West,Visual arts,True,68947,68947,68947,206841,68947,68947,68947,68947,275788,GIA,0,,Stroud,http://www.sva.org.uk,Grant in Aid,Band 1,False,False,False,False
Studio 3 Arts,1,,London,London,London,Combined arts,True,85493,85493,85493,256479,117993,117993,117993,117993,471972,GIA,0.3801480822991356,,Barking and Dagenham,http://www.studio3arts.org.uk,Grant in Aid,Band 1,False,False,False,False
Studio Voltaire,1,,London,London,London,Visual arts,True,67079,67079,67079,201237,67079,67079,67079,67079,268316,GIA,0,,Lambeth,http://www.studiovoltaire.org,Grant in Aid,Band 1,False,False,False,False
Studio Wayne McGregor,2,,London,London,London,Dance,True,515212,515212,515212,1545636,515212,515212,515212,515212,2060848,GIA,0,,Hackney,http://waynemcgregor.com,Grant in Aid,Band 2,False,False,False,False
Suffolk Libraries,1,,South East,East,East of England,Libraries,False,0,0,0,0,176000,176000,176000,176000,704000,GIA,,,Ipswich,http://www.suffolklibraries.co.uk,Grant in Aid,Band 1,False,False,False,False
Sunderland Culture,2,,North,North East,North East,Visual arts,False,0,0,0,0,500000,500000,500000,500000,2000000,GIA,,,Sunderland,http://sunderlandculture.org.uk,Grant in Aid,Band 2,False,False,False,False
Sunshine International Arts,1,,London,London,London,Combined arts,True,75000,75000,75000,225000,75000,75000,75000,75000,300000,GIA,0,,Haringey,http://www.sunshineiarts.co.uk,Grant in Aid,Band 1,False,False,False,False
Swindon Dance,1,,South West,South West,South West,Dance,True,206200,206200,206200,618600,206200,206200,206200,206200,824800,GIA,0,,Swindon,http://www.swindondance.org.uk,Grant in Aid,Band 1,False,False,False,False
Take A Part CIC,1,,South West,South West,South West,Combined arts,False,0,0,0,0,50000,50000,50000,50000,200000,GIA,,,Plymouth,http://www.effordtakeapart.org.uk,Grant in Aid,Band 1,False,False,False,False
Take Art Limited,1,,South West,South West,South West,Combined arts,True,160425,160425,160425,481275,160425,160425,160425,160425,641700,LOT,0,,South Somerset,http://www.takeart.org,National Lottery,Band 1,False,False,False,False
Talawa Theatre Company Ltd,2,,London,London,London,Theatre,True,372144,372144,372144,1116432,440305,440305,440305,440305,1761220,LOT,0.1831575949094974,,Hackney,http://www.talawa.com,National Lottery,Band 2,False,False,False,False
Talking Birds Theatre Company Limited,1,,Midlands,West Midlands,West Midlands,Theatre,True,67228,67228,67228,201684,101748,101748,101748,101748,406992,GIA,0.5134716309803011,,Coventry,http://talkingbirds.co.uk,Grant in Aid,Band 1,False,False,False,False
Tamasha Theatre Company,2,,London,London,London,Theatre,True,314465,314465,314465,943395,314465,314465,314465,314465,1257860,GIA,0,,Tower Hamlets,http://www.tamasha.org.uk,Grant in Aid,Band 2,False,False,False,False
Tangle Ltd,1,,South West,South West,South West,Theatre,True,85000,85000,85000,255000,101000,101000,101000,101000,404000,GIA,0.18823529411764706,,South Somerset,http://www.tangleinternational.com,Grant in Aid,Band 1,False,False,False,False
Tangled Feet,1,,South East,East,East of England,Combined arts,False,0,0,0,0,192945,192945,192945,192945,771780,LOT,,,Welwyn Hatfield,http://www.tangledfeet.com,National Lottery,Band 1,False,False,False,False
Tara Arts,1,,London,London,London,Theatre,True,207193,207193,207193,621581,207194,207194,207194,207194,828776,GIA,1.2905327947824345e-06,,Wandsworth,http://www.tara-arts.com,Grant in Aid,Band 1,False,False,False,False
Tavaziva Dance,1,,London,London,London,Dance,True,188505,188505,188505,565515,188505,188505,188505,188505,754020,LOT,0,,Haringey,http://www.tavazivadance.com,National Lottery,Band 1,False,False,False,False
Teesside University,2,,North,North East,North East,Visual arts,True,510756,510756,510756,1532269,510757,510757,510757,510757,2043028,GIA,7.858796167776995e-07,,Middlesbrough,http://www.tees.ac.uk,Grant in Aid,Band 2,False,False,False,False
Tete a Tete,1,,London,London,London,Music,True,100579,100579,100579,301739,100580,100580,100580,100580,402320,GIA,2.376656911077491e-06,,Richmond upon Thames,http://www.tete-a-tete.org.uk,Grant in Aid,Band 1,False,False,False,False
Thackray Medical Museum,1,,North,Yorkshire,Yorkshire and The Humber,Museums,False,0,0,0,0,221885,221885,221885,221885,887540,GIA,,,Leeds,http://www.thackraymedicalmuseum.co.uk,Grant in Aid,Band 1,False,False,False,False
Thames Festival Trust,1,,London,London,London,Combined arts,True,150000,150000,150000,450000,150000,150000,150000,150000,600000,GIA,0,,Southwark,http://www.totallythames.org,Grant in Aid,Band 1,False,False,False,False
the Albany,1,,London,London,London,Combined arts,True,176014,176014,176014,528043,176015,176015,176015,176015,704060,GIA,2.376656911263509e-06,,Lewisham,http://www.thealbany.org.uk,Grant in Aid,Band 1,False,False,False,False
the Albany,SSO,,National,London,London,Combined arts,False,0,0,0,0,130000,130000,130000,130000,520000,GIA,,,Lewisham,http://www.thealbany.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
The Alternative Theatre Company Ltd.,2,,London,London,London,Theatre,True,495281,495281,495281,1485843,595281,595281,595281,595281,2381124,GIA,0.2019055849103842,,Hammersmith and Fulham,http://www.bushtheatre.co.uk,Grant in Aid,Band 2,False,False,False,False
The Anvil Trust Ltd,1,,South West,South West,South East,Music,True,138949,138949,138949,416847,138949,138949,138949,138949,555796,GIA,0,,Basingstoke and Deane,http://www.anvilarts.org.uk,Grant in Aid,Band 1,False,False,False,False
The Artangel Trust,2,,London,London,London,Visual arts,True,852333,852333,852333,2556999,852333,852333,852333,852333,3409332,GIA,0,,Camden,http://www.artangel.org.uk,Grant in Aid,Band 2,False,False,False,False
The Arts Depot Trust Ltd,2,,London,London,London,Combined arts,True,301738,301738,301738,905214,301738,301738,301738,301738,1206952,GIA,0,,Barnet,http://www.artsdepot.co.uk,Grant in Aid,Band 2,False,False,False,False
The Ashton Group Theatre,1,,North,North West,North West,Theatre,True,80494,80494,80494,241483,80494,80494,80494,80494,321976,LOT,-5.880234759420338e-06,,Barrow-in-Furness,http://www.ashtongroup.co.uk,National Lottery,Band 1,False,False,False,False
The Audience Agency,SSO,,National,North West,North West,Not discipline specific,False,0,0,0,0,750000,750000,750000,750000,3000000,GIA,,,Manchester,http://www.theaudienceagency.org,Grant in Aid,Sector Support Organisation,False,False,False,False
The Bike Shed Theatre,1,,South West,South West,South West,Theatre,True,75000,75000,75000,225000,75000,75000,75000,75000,300000,GIA,0,,Exeter,http://www.bikeshedtheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
The Bluecoat,2,,North,North West,North West,Combined arts,True,486887,486887,486887,1460661,486887,486887,486887,486887,1947548,GIA,-2.3098352929672727e-07,,Liverpool,http://www.thebluecoat.org.uk,Grant in Aid,Band 2,False,False,False,False
The Bowes Museum,2,,North,North East,North East,Museums,False,0,0,0,0,367807,367807,367807,367807,1471228,GIA,,,County Durham,http://www.thebowesmuseum.org.uk,Grant in Aid,Band 2,False,False,False,False
The Bronte Society,1,,North,Yorkshire,Yorkshire and The Humber,Museums,False,0,0,0,0,232500,232500,232500,232500,930000,GIA,,,Bradford,http://www.bronte.org.uk,Grant in Aid,Band 1,False,False,False,False
The Children's Bookshow,1,,London,London,London,Literature,True,67079,67079,67079,201237,67079,67079,67079,67079,268316,LOT,0,,Brent,http://www.thechildrensbookshow.com,National Lottery,Band 1,False,False,False,False
The Courtyard Trust,1,,Midlands,West Midlands,West Midlands,Combined arts,True,212860,212860,212860,638582,212861,212861,212861,212861,851444,GIA,3.4370381400198847e-07,,"Herefordshire, County of",http://www.courtyard.org.uk,Grant in Aid,Band 1,False,False,False,False
The Creative Art House,1,,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,131687,131687,131687,395061,247087,247087,247087,247087,988348,GIA,0.8763197697520608,,Wakefield,http://www.the-arthouse.org.uk,Grant in Aid,Band 1,False,False,False,False
The Customs House,1,,North,North East,North East,Combined arts,True,100677,100677,100677,302032,100678,100678,100678,100678,402712,GIA,4.924183893048765e-06,,South Tyneside,http://www.customshouse.co.uk,Grant in Aid,Band 1,False,False,False,False
The DanceXchange Limited,2,,Midlands,West Midlands,West Midlands,Dance,True,760126,760126,760126,2280378,760126,760126,760126,760126,3040504,GIA,0,,Birmingham,http://www.dancexchange.org.uk,Grant in Aid,Band 2,False,False,False,False
The Devon Guild of Craftsmen,1,,South West,South West,South West,Visual arts,True,155557,155557,155557,466671,155557,155557,155557,155557,622228,GIA,0,,Teignbridge,http://www.crafts.org.uk,Grant in Aid,Band 1,False,False,False,False
The Dukes Playhouse Ltd,2,,North,North West,North West,Theatre,True,256189,256189,256189,768569,256190,256190,256190,256190,1024760,GIA,1.8771446121015442e-07,,Lancaster,http://www.dukes-lancaster.org,Grant in Aid,Band 2,False,False,False,False
The Forge,1,County Durham Arts In Education Agency,North,North East,North East,Combined arts,True,57496,57496,57496,172488,57496,57496,57496,57496,229984,GIA,0,,County Durham,http://www.intheforge.com,Grant in Aid,Band 1,False,False,False,False
The Gate Theatre Company Ltd,2,,London,London,London,Theatre,True,306330,306330,306330,918990,306330,306330,306330,306330,1225320,GIA,0,,Kensington and Chelsea,http://www.gatetheatre.co.uk,Grant in Aid,Band 2,False,False,False,False
The Geffrye Museum,1,,London,London,London,Museums,False,0,0,0,0,240000,240000,240000,240000,960000,GIA,,,Hackney,http://www.geffrye-museum.org.uk,Grant in Aid,Band 1,False,False,False,False
The Hall For Cornwall Trust,2,,South West,South West,South West,Combined arts,True,376282,376282,376282,1128846,376282,376282,376282,376282,1505128,GIA,0,,Cornwall,https://www.hallforcornwall.co.uk,Grant in Aid,Band 2,False,False,False,False
The Hepworth Wakefield Trust,2,,North,Yorkshire,Yorkshire and The Humber,Visual arts,True,906101,906101,906101,2718303,906101,906101,906101,906101,3624404,GIA,0,,Wakefield,http://www.hepworthwakefield.org,Grant in Aid,Band 2,False,False,False,False
The Lawnmowers Independent Theatre Company,1,,North,North East,North East,Theatre,True,60997,60997,60997,182992,60998,60998,60998,60998,243992,GIA,7.18117720587259e-06,,Gateshead,http://www.lawnmowerstheatre.com,Grant in Aid,Band 1,False,False,False,False
The Literary Consultancy,1,,London,London,London,Literature,True,73985,73985,73985,221955,73985,73985,73985,73985,295940,GIA,0,,Islington,http://literaryconsultancy.co.uk,Grant in Aid,Band 1,False,False,False,False
The Lowry Centre Trust,2,,North,North West,North West,Combined arts,True,800000,800000,800000,2400000,860000,860000,860000,860000,3440000,GIA,0.075,,Salford,http://www.thelowry.com,Grant in Aid,Band 2,False,False,False,False
The Lyric Theatre Hammersmith Limited,3,,London,London,London,Theatre,True,1100000,1100000,1100000,3300000,1100000,1100000,1100000,1100000,4400000,GIA,0,,Hammersmith and Fulham,http://www.lyric.co.uk,Grant in Aid,Band 3,False,False,False,False
The Maltings Berwick Trust Limited,1,,North,North East,North East,Combined arts,True,176387,176387,176387,529162,176387,176387,176387,176387,705548,GIA,-1.9714941962932265e-06,,Northumberland,http://www.maltingsberwick.co.uk,Grant in Aid,Band 1,False,False,False,False
The Met,1,Bury Metropolitan Arts Association,North,North West,North West,Combined arts,True,100579,100579,100579,301739,100580,100580,100580,100580,402320,GIA,2.376656911077491e-06,,Bury,http://www.themet.biz,Grant in Aid,Band 1,False,False,False,False
The Midi Music Company,1,,London,London,London,Music,True,117234,117234,117234,351702,117234,117234,117234,117234,468936,GIA,0,,Lewisham,http://www.themidimusiccompany.co.uk,Grant in Aid,Band 1,False,False,False,False
The Mighty Creatives,SSO,,Midlands,East Midlands,East Midlands,Not discipline specific,True,862477,862477,862477,2587431,862477,862477,862477,862477,3449908,LOT,0,Bridge Organisation,Leicester,http://www.themightycreatives.com,National Lottery,Sector Support Organisation,True,False,False,False
The Ministry of Stories,1,,London,London,London,Literature,True,89113,89113,89113,267339,89113,89113,89113,89113,356452,GIA,0,,Hackney,http://ministryofstories.org,Grant in Aid,Band 1,False,False,False,False
The National Holocaust Centre and Museum,2,,Midlands,East Midlands,East Midlands,Museums,False,0,0,0,0,300000,300000,300000,300000,1200000,GIA,,,Newark and Sherwood,http://www.nationalholocaustcentre.net,Grant in Aid,Band 2,False,False,False,False
The National Youth Brass Band of Great Britain,1,,South East,East,East of England,Music,True,118140,118140,118140,354420,61054,61054,61054,61054,244216,GIA,-0.48320636532927036,"Technical Reduction - Organisation is a National Youth Music Organisation (NYMOs). For 2015-2018, NYMOs were jointly funded by Department of Education and Arts Council England. For 2018-2022, NYMOs will receive their Arts Council England allocation as National Portfolio funding. NYMOs will receive their Department for Education funding via a restricted separate grant.",South Cambridgeshire,http://nybbgb.com,Grant in Aid,Band 1,False,False,True,False
The New Carnival Company CIC,1,,South West,South West,South East,Combined arts,True,76661,76661,76661,229983,76661,76661,76661,76661,306644,GIA,0,,Isle of Wight,http://Www.thenewcarnivalcompany.com,Grant in Aid,Band 1,False,False,False,False
The Octagon Theatre Trust,2,,North,North West,North West,Theatre,True,614060,614060,614060,1842180,614060,614060,614060,614060,2456240,GIA,0,,Bolton,http://www.octagonbolton.co.uk,Grant in Aid,Band 2,False,False,False,False
The Organisation for New Music and Sound,2,,London,London,London,Music,True,704659,704659,704659,2113977,704659,704659,704659,704659,2818636,GIA,0,,Westminster,http://www.soundandmusic.org,Grant in Aid,Band 2,False,False,False,False
The Photographers' Gallery,2,,London,London,London,Visual arts,True,902265,902265,902265,2706796,902265,902265,902265,902265,3609060,GIA,-4.724975864553108e-07,,Westminster,http://www.photonet.org.uk,Grant in Aid,Band 2,False,False,False,False
The Poetry Archive,1,,South West,South West,South West,Literature,True,106614,106614,106614,319842,106614,106614,106614,106614,426456,GIA,0,,Stroud,http://www.poetryarchive.org,Grant in Aid,Band 1,False,False,False,False
The Poetry School,1,,London,London,London,Literature,True,140409,140409,140409,421227,140409,140409,140409,140409,561636,GIA,0,,Lambeth,https://poetryschool.com,Grant in Aid,Band 1,False,False,False,False
The Poetry Society,2,,London,London,London,Literature,True,354559,354559,354559,1063677,354559,354559,354559,354559,1418236,GIA,0,,Camden,http://www.poetrysociety.org.uk,Grant in Aid,Band 2,False,False,False,False
The Point,1,Eastleigh Borough Council,South West,South West,South East,Combined arts,True,125000,125000,125000,375000,125000,125000,125000,125000,500000,GIA,0,,Eastleigh,http://www.thepointeastleigh.co.uk,Grant in Aid,Band 1,False,False,False,False
The Pound Arts Trust Ltd,1,,South West,South West,South West,Combined arts,True,75435,75435,75435,226305,75435,75435,75435,75435,301740,GIA,0,,Wiltshire,http://www.poundarts.org.uk,Grant in Aid,Band 1,False,False,False,False
The Reader,1,,North,North West,North West,Literature,False,0,0,0,0,175000,175000,175000,175000,700000,GIA,,,Liverpool,http://www.thereader.org.uk/,Grant in Aid,Band 1,False,False,False,False
The Reading Agency,2,,London,London,London,Literature,True,335394,335394,475394,1146182,475394,475394,475394,475394,1901576,GIA,0,,Islington,http://readingagency.org.uk,Grant in Aid,Band 2,False,False,False,False
The Robert Pacitti Company Ltd,2,,South East,East,East of England,Theatre,True,266708,266708,266708,800124,266708,266708,266708,266708,1066832,GIA,0,,Ipswich,http://www.pacitticompany.com,Grant in Aid,Band 2,False,False,False,False
The Roundhouse Trust,2,,London,London,London,Combined arts,True,974713,974713,974713,2924139,974713,974713,974713,974713,3898852,GIA,0,,Camden,http://www.roundhouse.org.uk,Grant in Aid,Band 2,False,False,False,False
The Seachange Trust,2,,South East,East,East of England,Combined arts,True,300000,300000,300000,900000,390000,390000,390000,390000,1560000,GIA,0.3,,Great Yarmouth,http://seachangearts.org.uk/,Grant in Aid,Band 2,False,False,False,False
The Showroom,1,,London,London,London,Visual arts,True,127894,127894,127894,383682,127894,127894,127894,127894,511576,GIA,0,,Westminster,http://www.theshowroom.org,Grant in Aid,Band 1,False,False,False,False
The Southampton Nuffield Theatre Trust,2,,South West,South West,South East,Theatre,True,974349,974349,974349,2923047,974349,974349,974349,974349,3897396,GIA,0,,Southampton,https://www.nstheatres.co.uk/,Grant in Aid,Band 2,False,False,False,False
The Spark Arts for Children,1,,Midlands,East Midlands,East Midlands,Combined arts,True,80866,80866,80866,242598,172866,172866,172866,172866,691464,GIA,1.1376771329242827,,Leicester,http://www.thesparkarts.co.uk,Grant in Aid,Band 1,False,False,False,False
The Spring Arts & Heritage Centre,1,,South West,South West,South East,Combined arts,False,0,0,0,0,120000,120000,120000,120000,480000,GIA,,,Havant,http://www.thespring.co.uk,Grant in Aid,Band 1,False,False,False,False
The Story Museum,1,,South East,South East,South East,Literature,False,0,0,0,0,175000,175000,175000,175000,700000,GIA,,,Oxford,http://www.storymuseum.org.uk,Grant in Aid,Band 1,False,False,False,False
The Tank Museum,1,,South West,South West,South West,Museums,False,0,0,0,0,120000,120000,120000,120000,480000,GIA,,,Purbeck,http://www.tankmuseum.org,Grant in Aid,Band 1,False,False,False,False
The Theatre Orchard,1,,South West,South West,South West,Theatre,False,0,0,0,0,90000,90000,90000,90000,360000,GIA,,,North Somerset,http://www.thetheatreorchard.org.uk,Grant in Aid,Band 1,False,False,False,False
The Wigmore Hall Trust,2,,London,London,London,Music,True,337987,337987,337987,1013961,337987,337987,337987,337987,1351948,GIA,0,,Westminster,http://www.wigmore-hall.org.uk,Grant in Aid,Band 2,False,False,False,False
The Writing Squad,1,,North,North West,North West,Literature,True,97743,97743,97743,293229,97743,97743,97743,97743,390972,GIA,0,,Stockport,http://www.writingsquad.com,Grant in Aid,Band 1,False,False,False,False
The Yard Theatre Ltd.,1,,London,London,London,Theatre,False,0,0,0,0,150000,150000,150000,150000,600000,GIA,,,Tower Hamlets,http://www.theyardtheatre.co.uk,Grant in Aid,Band 1,False,False,False,False
The York Early Music Foundation,2,,North,Yorkshire,Yorkshire and The Humber,Music,True,270467,270467,270467,811401,270467,270467,270467,270467,1081868,GIA,-1.1753360904588306e-06,,York,http://www.ncem.co.uk,Grant in Aid,Band 2,False,False,False,False
Theatre Alibi,1,,South West,South West,South West,Theatre,True,241597,241597,241597,724791,241597,241597,241597,241597,966388,LOT,0,,Exeter,http://www.theatrealibi.co.uk,National Lottery,Band 1,False,False,False,False
Theatre Bristol Ltd,1,,South West,South West,South West,Theatre,True,106985,106985,106985,320955,106985,106985,106985,106985,427940,GIA,0,,"Bristol, City of",http://theatrebristol.net/,Grant in Aid,Band 1,False,False,False,False
Theatre Centre,1,,London,London,London,Theatre,True,240000,240000,240000,720000,240000,240000,240000,240000,960000,GIA,0,,Hackney,http://www.theatre-centre.co.uk,Grant in Aid,Band 1,False,False,False,False
Theatre de Complicite Education Ltd,2,,London,London,London,Theatre,True,363622,363622,363622,1090866,363622,363622,363622,363622,1454488,GIA,0,,Camden,http://www.complicite.org/,Grant in Aid,Band 2,False,False,False,False
